,BNS_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,DegArea,P_2d
178,916,292.7190074,0.396582027,0.345885289,0.37398944,2584,1351.496206,0.363822903
179,919,211.4070991,0.455658243,0.339103667,0.448345428,2811,1420.160784,0.211894433
180,925,156.72,0.487,0.415,0.485,1427,966.0120031,0.362496209
181,930,371.61,0.269,0.248,0.253,7192,4278.933664,0.255162514
182,956,280.5341036,0.368490557,0.316389332,0.357179367,2584,1248.564908,0.310831754
183,967,227.9936556,0.426351155,0.341157715,0.410737312,2632,1352.584663,0.346124785
184,969,271.0507005,0.476560506,0.432682477,0.462499047,1610,921.1361078,0.426471979
185,971,219.4218009,0.818878109,0.785377601,0.774854222,492,206.4658373,0.799914499
186,977,395.47,0.216,0.2,0.207,5266,2934.309161,0.203050806
187,979,273.9641037,0.4669402,0.435283168,0.456067605,5622,2421.606648,0.444908611
188,985,342.9280645,0.237549377,0.211390557,0.221118656,3794,2040.528728,0.209716803
189,991,182.2567078,0.904231751,0.88355937,0.885396087,340,137.132448,0.892641416
190,994,140.4429512,0.88660459,0.808181015,0.857718165,381,147.4268892,0.756254819
191,997,341.6679935,0.169310969,0.139136137,0.157360641,4579,2508.761878,0.131950045
192,1004,271.32,0.264,0.22,0.256,4332,2320.353933,0.203581051
193,1025,322.6538514,0.656625772,0.639389854,0.645737122,3357,1453.942288,0.653803353
194,1027,161.4105383,0.878918968,0.835472675,0.85945606,659,415.3577532,0.862291984
195,1032,208.0549477,0.681148941,0.590700625,0.665801929,529,231.9462186,0.598883037
196,1036,167.20492,0.678613063,0.591207669,0.652171792,703,363.5314709,0.598049184
197,1039,261.9539369,0.301273507,0.261096894,0.296543234,2936,1654.283917,0.248093382
198,1045,199.25,0.62,0.533,0.595,853,371.3604917,0.576618067
199,1051,338.3485434,0.18236138,0.099030823,0.116715112,4881,2704.054641,0.145181835
200,1053,99.73102268,0.960050206,0.912582133,0.950130435,297,120.1630124,0.933969526
201,1064,265.42,0.547,0.446,0.493,2324,1589.619089,0.484145949
202,1069,395.51,0.67,0.424,0.423,4745,3151.253035,0.659403656
