,Tile No,RA_Center,DEC_Center
259,259,219.38823529411764,-33.0
260,260,220.23529411764704,-33.0
261,261,221.08235294117648,-33.0
262,262,221.9294117647059,-33.0
263,263,222.7764705882353,-33.0
264,264,223.6235294117647,-33.0
265,265,224.47058823529412,-33.0
266,266,225.31764705882352,-33.0
267,267,226.16470588235293,-33.0
268,268,227.01176470588234,-33.0
269,269,227.85882352941175,-33.0
270,270,228.70588235294116,-33.0
271,271,229.5529411764706,-33.0
272,272,230.4,-33.0
273,273,231.24705882352941,-33.0
274,274,232.09411764705882,-33.0
275,275,232.94117647058823,-33.0
276,276,233.78823529411764,-33.0
277,277,234.63529411764705,-33.0
278,278,235.48235294117646,-33.0
279,279,236.32941176470587,-33.0
280,280,237.1764705882353,-33.0
281,281,238.0235294117647,-33.0
282,282,238.87058823529412,-33.0
283,283,239.71764705882353,-33.0
284,284,240.56470588235294,-33.0
285,285,241.41176470588235,-33.0
286,286,242.25882352941176,-33.0
287,287,243.10588235294117,-33.0
288,288,243.95294117647057,-33.0
289,289,244.79999999999998,-33.0
290,290,245.64705882352942,-33.0
291,291,246.49411764705883,-33.0
292,292,247.34117647058824,-33.0
293,293,248.18823529411765,-33.0
294,294,249.03529411764706,-33.0
295,295,249.88235294117646,-33.0
296,296,250.72941176470587,-33.0
297,297,251.57647058823528,-33.0
298,298,252.4235294117647,-33.0
299,299,253.27058823529413,-33.0
300,300,254.11764705882354,-33.0
301,301,254.96470588235294,-33.0
302,302,255.81176470588235,-33.0
303,303,256.65882352941173,-33.0
304,304,257.50588235294117,-33.0
305,305,258.3529411764706,-33.0
306,306,259.2,-33.0
307,307,260.0470588235294,-33.0
308,308,260.8941176470588,-33.0
309,309,261.74117647058824,-33.0
310,310,262.5882352941176,-33.0
311,311,263.43529411764706,-33.0
312,312,264.28235294117644,-33.0
313,313,265.1294117647059,-33.0
314,314,265.9764705882353,-33.0
315,315,266.8235294117647,-33.0
316,316,267.67058823529413,-33.0
317,317,268.5176470588235,-33.0
318,318,269.36470588235295,-33.0
319,319,270.21176470588233,-33.0
320,320,271.05882352941177,-33.0
321,321,271.90588235294115,-33.0
322,322,272.7529411764706,-33.0
323,323,273.6,-33.0
324,324,274.4470588235294,-33.0
325,325,275.29411764705884,-33.0
326,326,276.1411764705882,-33.0
327,327,276.98823529411766,-33.0
328,328,277.83529411764704,-33.0
329,329,278.6823529411765,-33.0
330,330,279.52941176470586,-33.0
331,331,280.3764705882353,-33.0
332,332,281.22352941176473,-33.0
333,333,282.0705882352941,-33.0
334,334,282.91764705882355,-33.0
335,335,283.7647058823529,-33.0
336,336,284.61176470588236,-33.0
337,337,285.45882352941175,-33.0
338,338,286.3058823529412,-33.0
339,339,287.15294117647056,-33.0
340,340,288.0,-33.0
341,341,288.8470588235294,-33.0
342,342,289.6941176470588,-33.0
343,343,290.54117647058825,-33.0
344,344,291.38823529411764,-33.0
345,345,292.2352941176471,-33.0
346,346,293.08235294117645,-33.0
347,347,293.9294117647059,-33.0
348,348,294.77647058823527,-33.0
349,349,295.6235294117647,-33.0
350,350,296.4705882352941,-33.0
351,351,297.3176470588235,-33.0
352,352,298.16470588235296,-33.0
353,353,299.01176470588234,-33.0
354,354,299.8588235294118,-33.0
355,355,300.70588235294116,-33.0
356,356,301.5529411764706,-33.0
357,357,302.4,-33.0
358,358,303.2470588235294,-33.0
359,359,304.0941176470588,-33.0
360,360,304.94117647058823,-33.0
361,361,305.78823529411767,-33.0
362,362,306.63529411764705,-33.0
363,363,307.4823529411765,-33.0
364,364,308.32941176470587,-33.0
365,365,309.1764705882353,-33.0
366,366,310.0235294117647,-33.0
367,367,310.8705882352941,-33.0
368,368,311.7176470588235,-33.0
369,369,312.56470588235294,-33.0
370,370,313.4117647058824,-33.0
371,371,314.25882352941176,-33.0
372,372,315.1058823529412,-33.0
373,373,315.9529411764706,-33.0
374,374,316.8,-33.0
375,375,317.6470588235294,-33.0
376,376,318.49411764705883,-33.0
377,377,319.3411764705882,-33.0
378,378,320.18823529411765,-33.0
379,379,321.035294117647,-33.0
380,380,321.88235294117646,-33.0
381,381,322.7294117647059,-33.0
382,382,323.5764705882353,-33.0
383,383,324.4235294117647,-33.0
384,384,325.2705882352941,-33.0
385,385,326.11764705882354,-33.0
386,386,326.9647058823529,-33.0
387,387,327.81176470588235,-33.0
388,388,328.65882352941173,-33.0
389,389,329.50588235294117,-33.0
390,390,330.3529411764706,-33.0
391,391,331.2,-33.0
392,392,332.0470588235294,-33.0
393,393,332.8941176470588,-33.0
394,394,333.74117647058824,-33.0
395,395,334.5882352941176,-33.0
396,396,335.43529411764706,-33.0
397,397,336.28235294117644,-33.0
