NSBH_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,DegArea,P_2d
932,576.6109717,0.295432012,0.265480139,0.263906744,3348,2029.316311,0.288003254
937,358.4700956,0.740849203,0.674164115,0.717375994,1298,829.6008217,0.711017862
952,450.0861348,0.733945399,0.699551292,0.700532728,527,215.4882266,0.711163579
971,900.6,0.231,0.205,0.2,8048,4309.921899,0.224929228
1005,305.77,0.738,0.706,0.724,623,441.2053247,0.711329603
1013,884.27,0.181,0.169,0.168,5294,3110.927676,0.177002467
1014,724.25,0.579,0.514,0.507,3105,1101.439639,0.57537408
1016,907.12,0.158,0.134,0.137,5185,2779.472897,0.15164537
1021,616.9,0.176,0.153,0.153,8479,4703.051527,0.168206559
1040,516.54,0.332,0.289,0.292,1668,843.3704564,0.272575294
1055,511.73,0.082,0.063,0.068,8184,4339.152866,0.057593273
1062,624.48,0.59,0.544,0.536,2650,1711.421344,0.58299858
1067,626.58,0.513,0.456,0.454,3659,1927.814432,0.508917202
1082,373.78,0.814,0.79,0.797,421,159.8589023,0.775471006
1085,626.52,0.241,0.19,0.18,3056,1523.642868,0.227811093
1090,416.18,0.349,0.313,0.312,4200,2187.037641,0.337127869
1092,570.62,0.726,0.624,0.618,748,401.5225488,0.72085257
1096,280.22,0.272,0.183,0.267,3028,1657.365692,0.178166969
1101,322.6318935,0.38680178,0.327693137,0.371678551,3373,2571.446501,0.351426592
1102,399.8704018,0.204383645,0.182615694,0.191042356,3541,1466.046453,0.170140654
1107,356.9457753,0.206497977,0.18148966,0.193698717,3866,1641.550283,0.144345362
1111,374.9222335,0.747363827,0.697256529,0.703031611,1558,780.4104408,0.724949975
1114,544.7466111,0.897483584,0.860670104,0.867705269,390,233.5592329,0.883792513
1135,207.8146947,0.604478401,0.533328683,0.588405898,1296,520.9774086,0.559059687
1136,889.5434784,0.169915825,0.136563422,0.121041998,4486,2472.973942,0.149522889
1142,573.9110194,0.293168729,0.236881877,0.225251604,4078,2017.933413,0.27636775
1144,453.4953205,0.217319506,0.137564674,0.147225064,4465,2507.791447,0.199794269
1145,430.8986749,0.35845563,0.328385766,0.338038478,2388,1525.727984,0.324336628
1149,657.543023,0.360624671,0.319789485,0.314753239,2797,1586.065212,0.344217787
1152,433.5757464,0.363038608,0.268376826,0.274049754,3560,1495.605269,0.320698635
1156,951.8436797,0.514509503,0.47630679,0.446759243,2793,1463.554805,0.501485075
1161,394.5973771,0.357102117,0.331059118,0.340170213,2710,1409.3549,0.294967581
1163,481.7229162,0.733468623,0.672079866,0.669608088,859,407.8565808,0.730019445
1170,391.8341194,0.385219853,0.306326245,0.305466786,3036,2126.674186,0.355136037
1171,393.3218375,0.301803731,0.268509036,0.282383833,2216,923.2212239,0.281372434
1172,384.4964793,0.317928641,0.29491893,0.304359441,3028,1702.176018,0.297460797
1182,581.0777993,0.661955165,0.609608383,0.604517059,744,308.439818,0.643035139
1193,310.7595982,0.394007425,0.341583548,0.386496339,3384,1784.190585,0.338735992
1206,526.4470958,0.487879383,0.406417121,0.393412197,962,431.7239476,0.476097994
1215,141.2008059,0.899421446,0.846664079,0.866278511,429,161.0653845,0.849762173
1218,471.6288833,0.822688691,0.802532998,0.800910116,1012,1223.989388,0.81361729
1223,155.9168583,0.572671976,0.366813975,0.561191908,967,399.7128254,0.408122413
1233,106.0215814,0.965471591,0.92539031,0.949122319,492,197.3778784,0.928971403
1237,394.8332788,0.337812953,0.299836509,0.30179847,2345,1277.166406,0.312351862
1241,780.0989647,0.307892781,0.191778542,0.18910345,5092,2930.781512,0.297579145
1242,353.3217967,0.576700848,0.516929517,0.538402565,720,298.6568204,0.55958569
1244,467.5657417,0.769112034,0.729137982,0.739361974,543,230.8839896,0.7643706
1250,380.353022,0.590640351,0.552113919,0.575005968,1015,552.0443273,0.546611972
1255,418.0689179,0.320802201,0.293680397,0.309414339,2899,1198.272956,0.302450833
1259,563.7576355,0.312456907,0.288151889,0.294471168,3009,1242.965256,0.283919812
1260,160.1556841,0.961773221,0.938845324,0.855785518,180,71.70701211,0.929231804
1263,258.1932078,0.891321561,0.866990285,0.874494368,251,101.2527141,0.868858553
1265,279.7374572,0.33083278,0.174591888,0.202298513,2477,1262.911556,0.269171936
